Date,Open,High,Low,Close,Adj Close,Volume
2018-09-27,83.769997,84.919998,83.730003,84.540001,84.073509,6080600
2018-09-28,84.290001,85.269997,84.250000,84.720001,84.252518,7452700
2018-10-01,85.099998,85.849998,84.370003,84.459999,83.993950,7876400
2018-10-02,84.339996,84.550003,82.500000,82.769997,82.313271,8446900
2018-10-03,81.930000,82.959999,81.750000,82.500000,82.044762,10046700
2018-10-04,82.339996,82.480003,80.019997,80.180000,79.737572,9160300
2018-10-05,80.089996,80.989998,79.430000,80.120003,79.677902,7019100
2018-10-08,80.040001,80.540001,79.080002,80.230003,79.787300,8058700
2018-10-09,80.370003,81.489998,80.160004,80.419998,79.976242,7643400
2018-10-10,79.660004,80.040001,74.769997,74.940002,74.526482,12977800
2018-10-11,74.769997,77.070000,73.900002,74.510002,74.098854,11532100
2018-10-12,75.970001,76.860001,74.910004,75.910004,75.491135,10393800
2018-10-15,75.769997,76.160004,74.970001,74.989998,74.576202,5789000
2018-10-16,75.599998,77.650002,75.320000,77.480003,77.052467,7744200
2018-10-17,77.519997,77.800003,75.940002,76.480003,76.057983,6816900
2018-10-18,77.400002,77.410004,75.000000,75.599998,75.182831,7622200
2018-10-19,75.830002,76.050003,74.139999,74.209999,73.800514,7301200
2018-10-22,74.650002,75.209999,74.300003,74.900002,74.486702,7042500
2018-10-23,74.190002,74.379997,72.070000,73.349998,72.945251,11423800
2018-10-24,73.470001,74.610001,71.949997,72.120003,71.722046,8333900
2018-10-25,72.690002,73.500000,72.230003,73.099998,72.696632,7648000
2018-10-26,72.000000,72.709999,70.690002,72.070000,71.672318,8371100
2018-10-29,73.260002,74.010002,71.389999,72.190002,71.791656,9874200
2018-10-30,73.070000,74.639999,72.809998,74.510002,74.098854,9470000
2018-10-31,75.500000,76.339996,74.919998,75.040001,74.625931,8755500
2018-11-01,75.230003,76.839996,74.839996,76.790001,76.366272,6117800
2018-11-02,77.529999,78.589996,75.709999,76.580002,76.157433,6995100
2018-11-05,76.489998,77.769997,76.050003,77.529999,77.102188,7143300
2018-11-06,77.339996,77.580002,76.360001,76.570000,76.147484,6424200
2018-11-07,76.940002,78.230003,76.570000,77.970001,77.539764,5403900
2018-11-08,77.690002,78.160004,77.239998,77.779999,77.350807,5425000
2018-11-09,77.709999,77.769997,75.529999,76.360001,75.938652,4737600
2018-11-12,76.349998,76.769997,74.989998,75.099998,74.685593,5196300
